[vite] connecting... client:743:9
[vite] connected. client:866:15
[2025-04-06T03:08:01.709Z] [INFO] main.ts executing... logger.ts:61:15
[2025-04-06T03:08:01.709Z] [INFO] main.ts finished initial execution. logger.ts:61:15
[2025-04-06T03:08:01.712Z] [INFO] DOM fully loaded. logger.ts:61:15
[2025-04-06T03:08:01.712Z] [INFO] Initializing game... logger.ts:61:15
[2025-04-06T03:08:01.712Z] [INFO] [Game] Constructing instance... logger.ts:61:15
[2025-04-06T03:08:01.713Z] [INFO] [RendererFacade] Constructing... logger.ts:61:15
[2025-04-06T03:08:01.713Z] [DEBUG] [ScreenBuffer] Instance created. logger.ts:58:15
[2025-04-06T03:08:01.713Z] [DEBUG] [DrawingContext] Instance created. logger.ts:58:15
[2025-04-06T03:08:01.713Z] [INFO] [PerlinNoise] Initializing instance with seed: "haunting beauty_nebula" logger.ts:61:15
[2025-04-06T03:08:01.713Z] [INFO] [PerlinNoise:haunting beauty_nebula] Instance created and PRNG seeded. logger.ts:61:15
[2025-04-06T03:08:01.713Z] [INFO] [NebulaRenderer] Initialized with seed "haunting beauty_nebula" and 3 base colors. logger.ts:61:15
[2025-04-06T03:08:01.714Z] [DEBUG] [StatusBarUpdater] Instance created. logger.ts:58:15
[2025-04-06T03:08:01.715Z] [DEBUG] [StatusBarUpdater.updateMaxChars] Status bar max chars estimated: 1050 logger.ts:58:15
[2025-04-06T03:08:01.716Z] [DEBUG] [SceneRenderer] Instance created. logger.ts:58:15
[2025-04-06T03:08:01.716Z] [INFO] [RendererFacade] All components instantiated. logger.ts:61:15
[2025-04-06T03:08:01.716Z] [DEBUG] [RendererFacade.fitToScreen] Adjusting... logger.ts:58:15
[2025-04-06T03:08:01.716Z] [INFO] [ScreenBuffer.updateDimensions] Dimensions updated: Grid=180x90, CharSize=16.0x16.0px logger.ts:61:15
[2025-04-06T03:08:01.716Z] [INFO] [ScreenBuffer.initBuffers] Initializing buffers for 180x90 grid (16200 cells) logger.ts:61:15
[2025-04-06T03:08:01.717Z] [DEBUG] [ScreenBuffer.initBuffers] Buffers initialized. logger.ts:58:15
[2025-04-06T03:08:01.717Z] [DEBUG] [StatusBarUpdater.updateMaxChars] Status bar max chars estimated: 1047 logger.ts:58:15
[2025-04-06T03:08:01.717Z] [DEBUG] [NebulaRenderer.clearCache] Clearing nebula color cache. logger.ts:58:15
[2025-04-06T03:08:01.717Z] [INFO] [RendererFacade.fitToScreen] Resized complete. Grid: 180x90 logger.ts:61:15
[2025-04-06T03:08:01.717Z] [INFO] [RendererFacade] Construction complete. logger.ts:61:15
[2025-04-06T03:08:01.717Z] [INFO] Player initialized. Start World: [0, 0], Char: @, Credits: 1000, Fuel: 500/500, Cargo Cap: 100 logger.ts:61:15
[2025-04-06T03:08:01.717Z] [DEBUG] [InputManager] Instance created. logger.ts:58:15
[2025-04-06T03:08:01.717Z] [DEBUG] [InputManager] Key to action map built: {} logger.ts:58:15
[2025-04-06T03:08:01.717Z] [INFO] [GameStateManager] Initialized. Initial state: 'hyperspace' logger.ts:61:15
[2025-04-06T03:08:01.717Z] [DEBUG] [ActionProcessor] Instance created. logger.ts:58:15
[2025-04-06T03:08:01.717Z] [DEBUG] [Game] Handling window resize... logger.ts:58:15
[2025-04-06T03:08:01.717Z] [DEBUG] [RendererFacade.fitToScreen] Adjusting... logger.ts:58:15
[2025-04-06T03:08:01.718Z] [DEBUG] [ScreenBuffer.updateDimensions] CharSize updated: 16.0x16.0px (Grid size unchanged) logger.ts:58:15
[2025-04-06T03:08:01.718Z] [DEBUG] [StatusBarUpdater.updateMaxChars] Status bar max chars estimated: 1047 logger.ts:58:15
[2025-04-06T03:08:01.718Z] [DEBUG] [NebulaRenderer.clearCache] Clearing nebula color cache. logger.ts:58:15
[2025-04-06T03:08:01.718Z] [INFO] [RendererFacade.fitToScreen] Resized complete. Grid: 180x90 logger.ts:61:15
[2025-04-06T03:08:01.718Z] [INFO] [Game] Instance constructed. Seed: "haunting beauty", Initial State: 'hyperspace' logger.ts:61:15
[2025-04-06T03:08:02.151Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.168Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.183Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.201Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.218Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.235Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.251Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.268Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.285Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.302Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.317Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.334Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.351Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.368Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.384Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.401Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.418Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.435Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.451Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.467Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.485Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.501Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.519Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.534Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.550Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.568Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.584Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.601Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.639Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.654Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.668Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.686Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.699Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.712Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.731Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.745Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.758Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.772Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.788Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.821Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.839Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.855Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.872Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.888Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.905Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.921Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.938Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.954Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.971Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.989Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.005Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.022Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.039Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.055Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.071Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.088Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.105Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.121Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.138Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.154Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.172Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.189Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.204Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.221Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.238Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.254Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.271Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.288Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.305Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.321Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.338Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.354Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.371Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.388Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.405Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.422Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.438Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.454Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.472Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.488Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.544Z] [DEBUG] [Game] Handling window resize... logger.ts:58:15
[2025-04-06T03:08:03.544Z] [DEBUG] [RendererFacade.fitToScreen] Adjusting... logger.ts:58:15
[2025-04-06T03:08:03.544Z] [INFO] [ScreenBuffer.updateDimensions] Dimensions updated: Grid=180x47, CharSize=16.0x16.0px logger.ts:61:15
[2025-04-06T03:08:03.544Z] [INFO] [ScreenBuffer.initBuffers] Initializing buffers for 180x47 grid (8460 cells) logger.ts:61:15
[2025-04-06T03:08:03.544Z] [DEBUG] [ScreenBuffer.initBuffers] Buffers initialized. logger.ts:58:15
[2025-04-06T03:08:03.544Z] [DEBUG] [StatusBarUpdater.updateMaxChars] Status bar max chars estimated: 1047 logger.ts:58:15
[2025-04-06T03:08:03.544Z] [DEBUG] [NebulaRenderer.clearCache] Clearing nebula color cache. logger.ts:58:15
[2025-04-06T03:08:03.544Z] [INFO] [RendererFacade.fitToScreen] Resized complete. Grid: 180x47 logger.ts:61:15
[2025-04-06T03:08:03.544Z] [DEBUG] [Game] Triggering render after resize. logger.ts:58:15
[2025-04-06T03:08:03.568Z] [DEBUG] [ScreenBuffer.renderDiff] Completed: 8460 cells drawn in 6.00 ms logger.ts:58:15
[2025-04-06T03:08:03.568Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.579Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.588Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.604Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.621Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.640Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.655Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.672Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.688Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.705Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.730Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.738Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.755Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.771Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.788Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.805Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.821Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.852Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.872Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.887Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.906Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.923Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.938Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.956Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.979Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:03.989Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:04.004Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:04.021Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:04.038Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
